timestamp,attack_type,source_ip,target_port
2026-06-16 01:09:43,SQL Injection,10.10.6.27,8080
2026-06-16 01:10:20,DDoS,203.0.113.10,22
2026-06-16 01:11:09,Port Scan,10.10.6.12,443
2026-06-16 01:17:15,SQL Injection,10.10.2.31,8080
2026-06-16 01:17:37,Brute Force,10.10.6.33,443
2026-06-16 01:19:50,DDoS,203.0.113.10,80
2026-06-16 01:21:08,Port Scan,203.0.113.77,21
2026-06-16 01:21:19,DDoS,203.0.113.10,443
2026-06-16 01:21:23,Malware Upload,10.10.7.34,22
2026-06-16 01:22:54,Port Scan,203.0.113.77,25
2026-06-16 01:23:46,Brute Force,10.10.4.10,443
2026-06-16 01:25:35,Brute Force,10.10.2.33,443
2026-06-16 01:26:21,Port Scan,10.10.3.23,80
2026-06-16 01:26:23,Brute Force,10.10.6.33,22
2026-06-16 01:29:24,DDoS,10.10.3.30,443
2026-06-16 01:32:29,SQL Injection,10.10.4.16,22
2026-06-16 01:35:00,DDoS,10.10.6.19,3306
2026-06-16 01:35:04,SQL Injection,10.10.5.33,3306
2026-06-16 01:36:05,SQL Injection,10.10.3.31,25
2026-06-16 01:41:33,DDoS,10.10.3.28,80
2026-06-16 01:45:50,Port Scan,198.51.100.23,3306
2026-06-16 01:49:31,Brute Force,10.10.7.21,80
2026-06-16 01:50:45,Malware Upload,10.10.2.33,5432
2026-06-16 01:56:11,SQL Injection,198.51.100.23,22
2026-06-16 01:57:54,DDoS,10.10.2.20,443
2026-06-16 02:02:09,XSS,10.10.1.21,25
2026-06-16 02:02:12,Brute Force,192.0.2.44,443
2026-06-16 02:04:39,SQL Injection,198.51.100.23,80
2026-06-16 02:06:53,DDoS,203.0.113.10,443
2026-06-16 02:11:59,Port Scan,203.0.113.77,80
2026-06-16 02:13:31,DDoS,10.10.1.12,8080
2026-06-16 02:13:53,SQL Injection,10.10.6.33,443
2026-06-16 02:16:21,Port Scan,10.10.1.15,8080
2026-06-16 02:17:59,SQL Injection,10.10.2.28,80
2026-06-16 02:18:15,SQL Injection,198.51.100.23,80
2026-06-16 02:20:26,Port Scan,203.0.113.77,22
2026-06-16 02:23:19,XSS,10.10.1.22,443
2026-06-16 02:24:45,Malware Upload,10.10.5.13,8080
2026-06-16 02:25:29,Brute Force,10.10.5.21,21
2026-06-16 02:28:01,SQL Injection,198.51.100.23,8080
2026-06-16 02:30:31,Port Scan,203.0.113.77,80
2026-06-16 02:31:00,DDoS,10.10.5.10,443
2026-06-16 02:33:16,XSS,10.10.1.30,443
2026-06-16 02:34:32,Port Scan,10.10.5.16,80
2026-06-16 02:34:39,Port Scan,203.0.113.77,21
2026-06-16 02:35:56,SQL Injection,198.51.100.23,443
2026-06-16 02:36:04,Port Scan,203.0.113.77,22
2026-06-16 02:38:32,Brute Force,192.0.2.44,8080
2026-06-16 02:40:20,Brute Force,203.0.113.10,3306
2026-06-16 02:41:02,XSS,10.10.7.34,8080
2026-06-16 02:41:24,DDoS,10.10.1.16,443
2026-06-16 02:43:24,Brute Force,10.10.3.25,443
2026-06-16 02:44:10,SQL Injection,10.10.5.20,80
2026-06-16 02:50:54,DDoS,10.10.5.16,3389
2026-06-16 02:52:54,DDoS,10.10.6.17,80
2026-06-16 02:53:52,SQL Injection,198.51.100.23,443
2026-06-16 02:54:17,SQL Injection,198.51.100.23,443
2026-06-16 02:56:03,SQL Injection,198.51.100.23,21
2026-06-16 02:57:41,Port Scan,10.10.4.17,22
2026-06-16 02:57:45,DDoS,203.0.113.10,80
2026-06-16 03:01:43,DDoS,10.10.3.27,3389
2026-06-16 03:01:51,DDoS,203.0.113.10,22
2026-06-16 03:02:51,DDoS,198.51.100.23,443
2026-06-16 03:04:29,DDoS,10.10.3.30,3306
2026-06-16 03:04:51,DDoS,10.10.3.17,80
2026-06-16 03:05:07,DDoS,203.0.113.10,8080
2026-06-16 03:05:45,DDoS,10.10.6.12,80
2026-06-16 03:05:50,SQL Injection,198.51.100.23,8080
2026-06-16 03:06:35,Port Scan,10.10.4.14,5432
2026-06-16 03:12:30,DDoS,10.10.3.13,443
2026-06-16 03:13:10,SQL Injection,198.51.100.23,443
2026-06-16 03:15:52,DDoS,203.0.113.10,8080
2026-06-16 03:17:03,Brute Force,192.0.2.44,5432
2026-06-16 03:17:03,SQL Injection,10.10.6.26,22
2026-06-16 03:17:57,Malware Upload,10.10.6.16,443
2026-06-16 03:21:17,XSS,10.10.3.22,8080
2026-06-16 03:26:39,Port Scan,10.10.2.18,443
2026-06-16 03:33:51,DDoS,10.10.1.21,3389
2026-06-16 03:35:28,Port Scan,10.10.4.22,22
2026-06-16 03:36:42,DDoS,10.10.3.18,443
2026-06-16 03:42:12,Brute Force,10.10.2.22,80
2026-06-16 03:43:05,Malware Upload,10.10.2.31,3306
2026-06-16 03:43:15,SQL Injection,198.51.100.23,80
2026-06-16 03:45:16,Brute Force,192.0.2.44,443
2026-06-16 03:46:10,Credential Stuffing,10.10.1.31,22
2026-06-16 03:46:15,Brute Force,10.10.1.13,80
2026-06-16 03:47:56,Malware Upload,10.10.7.13,443
2026-06-16 03:49:00,Port Scan,203.0.113.77,443
2026-06-16 03:54:44,XSS,10.10.7.23,3306
2026-06-16 03:54:50,SQL Injection,10.10.3.12,8080
2026-06-16 04:01:33,DDoS,10.10.7.24,80
2026-06-16 04:03:19,DDoS,203.0.113.10,443
2026-06-16 04:04:24,Credential Stuffing,10.10.3.29,80
2026-06-16 04:04:29,Brute Force,192.0.2.44,443
2026-06-16 04:05:57,Directory Traversal,192.0.2.44,443
2026-06-16 04:07:51,SQL Injection,10.10.5.12,443
2026-06-16 04:09:08,LDAP Injection,10.10.6.13,80
2026-06-16 04:22:35,SQL Injection,10.10.7.16,443
2026-06-16 04:22:47,DDoS,10.10.4.23,3306
2026-06-16 04:25:08,Brute Force,192.0.2.44,443
2026-06-16 04:25:39,Brute Force,192.0.2.44,3306
2026-06-16 04:31:30,Malware Upload,203.0.113.10,80
2026-06-16 04:32:04,SQL Injection,10.10.4.11,3306
2026-06-16 04:32:18,Brute Force,192.0.2.44,3389
2026-06-16 04:33:04,Malware Upload,10.10.7.20,443
2026-06-16 04:33:08,Malware Upload,10.10.5.14,80
2026-06-16 04:39:03,Brute Force,192.0.2.44,8080
2026-06-16 04:39:14,XSS,10.10.3.24,3306
2026-06-16 04:45:20,Port Scan,203.0.113.77,80
2026-06-16 04:49:51,DDoS,203.0.113.10,8080
2026-06-16 04:52:17,Port Scan,10.10.3.26,22
2026-06-16 04:52:39,Directory Traversal,10.10.4.16,443
2026-06-16 04:57:12,XSS,10.10.2.21,80
2026-06-16 04:57:42,Brute Force,192.0.2.44,443
2026-06-16 04:58:10,SQL Injection,198.51.100.23,443
2026-06-16 05:05:32,Malware Upload,10.10.4.27,443
2026-06-16 05:09:36,SQL Injection,10.10.6.26,5432
2026-06-16 05:17:56,Port Scan,10.10.4.25,443
2026-06-16 05:19:41,SQL Injection,10.10.5.28,80
2026-06-16 05:19:45,DDoS,203.0.113.10,21
2026-06-16 05:20:36,SQL Injection,198.51.100.23,22
2026-06-16 05:20:48,Brute Force,192.0.2.44,25
2026-06-16 05:20:59,Brute Force,192.0.2.44,80
2026-06-16 05:23:31,SQL Injection,192.0.2.44,80
2026-06-16 05:28:14,Port Scan,10.10.4.31,3389
2026-06-16 05:28:20,SQL Injection,198.51.100.23,80
2026-06-16 05:29:25,Brute Force,192.0.2.44,443
2026-06-16 05:30:11,Brute Force,192.0.2.44,80
2026-06-16 05:34:09,DDoS,10.10.4.32,443
2026-06-16 05:35:21,Port Scan,203.0.113.77,443
2026-06-16 05:36:52,SQL Injection,10.10.1.24,22
2026-06-16 05:37:25,Port Scan,10.10.7.16,443
2026-06-16 05:39:07,Brute Force,10.10.6.20,443
2026-06-16 05:46:27,Brute Force,10.10.3.31,3306
2026-06-16 05:46:53,SQL Injection,10.10.3.22,80
2026-06-16 05:49:49,Directory Traversal,10.10.1.13,443
2026-06-16 05:52:22,Credential Stuffing,10.10.4.14,443
2026-06-16 05:54:12,Port Scan,203.0.113.77,80
2026-06-16 05:54:35,SQL Injection,198.51.100.23,22
2026-06-16 06:01:26,Port Scan,203.0.113.77,80
2026-06-16 06:05:20,SQL Injection,198.51.100.23,22
2026-06-16 06:05:21,SQL Injection,10.10.4.17,21
2026-06-16 06:06:24,SQL Injection,10.10.4.15,443
2026-06-16 06:07:48,DDoS,203.0.113.10,8080
2026-06-16 06:12:16,XSS,10.10.7.34,8080
2026-06-16 06:12:35,Credential Stuffing,10.10.3.25,5432
2026-06-16 06:14:18,SQL Injection,198.51.100.23,22
2026-06-16 06:14:52,Malware Upload,10.10.5.19,80
2026-06-16 06:15:21,XSS,10.10.4.22,8080
2026-06-16 06:16:04,DDoS,10.10.6.31,80
2026-06-16 06:17:45,Brute Force,203.0.113.10,3306
2026-06-16 06:18:12,SQL Injection,10.10.3.25,443
2026-06-16 06:18:22,Port Scan,203.0.113.77,80
2026-06-16 06:19:24,DDoS,203.0.113.10,21
2026-06-16 06:19:27,Brute Force,192.0.2.44,443
2026-06-16 06:21:11,XSS,10.10.5.34,3389
2026-06-16 06:26:26,XSS,10.10.3.16,22
2026-06-16 06:26:53,SQL Injection,10.10.1.23,8080
2026-06-16 06:28:02,Port Scan,203.0.113.77,443
2026-06-16 06:28:27,DDoS,203.0.113.10,3389
2026-06-16 06:28:55,Port Scan,203.0.113.77,3306
2026-06-16 06:29:07,Port Scan,203.0.113.77,443
2026-06-16 06:30:27,Port Scan,203.0.113.77,5432
2026-06-16 06:34:00,DDoS,203.0.113.10,3389
2026-06-16 06:35:07,Port Scan,203.0.113.77,80
2026-06-16 06:35:46,Brute Force,192.0.2.44,22
2026-06-16 06:37:18,Directory Traversal,10.10.1.30,22
2026-06-16 06:37:23,DDoS,10.10.7.33,443
2026-06-16 06:37:23,Brute Force,192.0.2.44,443
2026-06-16 06:37:43,Malware Upload,10.10.2.26,443
2026-06-16 06:40:36,SQL Injection,10.10.5.19,22
2026-06-16 06:41:39,XSS,10.10.2.26,443
2026-06-16 06:43:02,SQL Injection,10.10.1.10,80
2026-06-16 06:43:59,DDoS,10.10.7.14,5432
2026-06-16 06:44:10,SQL Injection,10.10.7.20,22
2026-06-16 06:47:07,Port Scan,10.10.2.11,443
2026-06-16 06:48:05,Port Scan,203.0.113.77,80
2026-06-16 06:50:25,Brute Force,192.0.2.44,443
2026-06-16 06:51:36,SQL Injection,10.10.3.12,443
2026-06-16 06:52:10,Malware Upload,203.0.113.10,443
2026-06-16 06:52:22,Brute Force,192.0.2.44,22
2026-06-16 06:53:41,Brute Force,192.0.2.44,22
2026-06-16 06:54:06,Zero-Day Probe,10.10.6.32,5432
2026-06-16 06:55:27,SQL Injection,10.10.7.30,443
2026-06-16 06:56:31,SQL Injection,10.10.4.24,443
2026-06-16 07:00:04,Port Scan,10.10.6.33,443
2026-06-16 07:01:37,SQL Injection,198.51.100.23,443
2026-06-16 07:02:14,Port Scan,10.10.1.24,22
2026-06-16 07:02:23,SQL Injection,10.10.5.21,21
2026-06-16 07:03:05,XSS,10.10.2.22,443
2026-06-16 07:03:16,SQL Injection,10.10.1.30,22
2026-06-16 07:03:40,Credential Stuffing,10.10.7.31,443
2026-06-16 07:04:23,DDoS,10.10.1.23,443
2026-06-16 07:05:11,SQL Injection,10.10.6.30,3389
2026-06-16 07:05:51,DDoS,203.0.113.10,80
2026-06-16 07:07:26,SQL Injection,198.51.100.23,22
2026-06-16 07:08:00,Port Scan,10.10.7.33,80
2026-06-16 07:09:17,SQL Injection,198.51.100.23,80
2026-06-16 07:11:25,Port Scan,10.10.3.28,443
2026-06-16 07:13:25,DDoS,198.51.100.23,3389
2026-06-16 07:13:43,DDoS,192.0.2.44,3306
2026-06-16 07:13:47,Port Scan,203.0.113.77,22
2026-06-16 07:17:40,SQL Injection,198.51.100.23,80
2026-06-16 07:18:23,SQL Injection,198.51.100.23,8080
2026-06-16 07:19:24,Directory Traversal,10.10.4.17,80
2026-06-16 07:21:10,DDoS,10.10.2.24,443
2026-06-16 07:21:32,Directory Traversal,10.10.1.29,443
2026-06-16 07:24:12,DDoS,10.10.3.30,80
2026-06-16 07:25:20,SQL Injection,198.51.100.23,80
2026-06-16 07:27:43,Port Scan,203.0.113.77,3306
2026-06-16 07:27:46,Port Scan,203.0.113.77,443
2026-06-16 07:27:56,SQL Injection,198.51.100.23,80
2026-06-16 07:28:19,Brute Force,10.10.5.23,443
2026-06-16 07:29:32,Brute Force,10.10.7.22,443
2026-06-16 07:30:20,Port Scan,203.0.113.77,80
2026-06-16 07:30:43,SQL Injection,10.10.4.11,80
2026-06-16 07:30:48,SQL Injection,192.0.2.44,8080
2026-06-16 07:31:09,DDoS,10.10.6.14,443
2026-06-16 07:31:38,Brute Force,192.0.2.44,80
2026-06-16 07:31:40,DDoS,10.10.4.30,80
2026-06-16 07:32:50,DDoS,10.10.1.13,8080
2026-06-16 07:34:19,Directory Traversal,10.10.3.24,25
2026-06-16 07:35:03,Port Scan,10.10.1.15,3306
2026-06-16 07:36:21,SQL Injection,10.10.7.29,22
2026-06-16 07:38:29,Port Scan,10.10.4.29,22
2026-06-16 07:38:56,SQL Injection,10.10.4.11,443
2026-06-16 07:42:12,Brute Force,192.0.2.44,3306
2026-06-16 07:43:39,DDoS,10.10.5.16,3389
2026-06-16 07:43:49,Brute Force,192.0.2.44,22
2026-06-16 07:43:53,DDoS,203.0.113.10,5432
2026-06-16 07:44:07,SQL Injection,198.51.100.23,25
2026-06-16 07:46:23,Brute Force,10.10.6.25,443
2026-06-16 07:46:33,DDoS,10.10.7.16,443
2026-06-16 07:47:21,SQL Injection,10.10.3.20,5432
2026-06-16 07:47:23,SQL Injection,198.51.100.23,443
2026-06-16 07:47:37,Credential Stuffing,10.10.2.31,8080
2026-06-16 07:48:15,Port Scan,203.0.113.77,80
2026-06-16 07:48:16,DDoS,10.10.4.14,443
2026-06-16 07:49:06,XSS,10.10.1.33,3306
2026-06-16 07:49:19,DDoS,203.0.113.10,443
2026-06-16 07:49:27,Brute Force,192.0.2.44,443
2026-06-16 07:51:21,SQL Injection,198.51.100.23,3306
2026-06-16 07:52:35,Port Scan,10.10.3.17,22
2026-06-16 07:54:55,Brute Force,192.0.2.44,3389
2026-06-16 07:54:58,DDoS,10.10.2.17,3389
2026-06-16 07:55:25,Directory Traversal,10.10.1.23,21
2026-06-16 07:59:18,DDoS,198.51.100.23,443
2026-06-16 08:00:53,Brute Force,10.10.5.33,80
2026-06-16 08:01:18,Malware Upload,10.10.4.16,443
2026-06-16 08:01:45,Port Scan,203.0.113.77,8080
2026-06-16 08:01:54,Port Scan,198.51.100.23,80
2026-06-16 08:02:17,Port Scan,10.10.2.14,3306
2026-06-16 08:03:07,SQL Injection,10.10.4.16,3389
2026-06-16 08:03:12,Brute Force,192.0.2.44,3389
2026-06-16 08:03:23,Port Scan,203.0.113.77,80
2026-06-16 08:03:48,Port Scan,10.10.1.11,443
2026-06-16 08:04:10,Brute Force,10.10.5.34,22
2026-06-16 08:04:55,Brute Force,10.10.4.20,25
2026-06-16 08:05:23,Port Scan,10.10.2.18,22
2026-06-16 08:05:26,Port Scan,203.0.113.77,8080
2026-06-16 08:06:20,Port Scan,10.10.6.12,3389
2026-06-16 08:06:47,DDoS,203.0.113.10,22
2026-06-16 08:08:11,Port Scan,203.0.113.77,443
2026-06-16 08:08:50,Brute Force,10.10.7.22,3389
2026-06-16 08:09:41,Malware Upload,10.10.6.17,21
2026-06-16 08:13:08,DDoS,10.10.6.11,3306
2026-06-16 08:13:12,DDoS,203.0.113.10,443
2026-06-16 08:14:27,Malware Upload,10.10.3.29,21
2026-06-16 08:14:51,Malware Upload,10.10.3.24,22
2026-06-16 08:17:08,DDoS,10.10.3.31,80
2026-06-16 08:20:01,DDoS,10.10.2.20,3389
2026-06-16 08:21:18,Malware Upload,192.0.2.44,22
2026-06-16 08:23:07,Port Scan,203.0.113.77,443
2026-06-16 08:25:04,XSS,10.10.7.14,443
2026-06-16 08:27:33,SQL Injection,198.51.100.23,80
2026-06-16 08:28:15,Port Scan,203.0.113.77,80
2026-06-16 08:28:59,Port Scan,10.10.6.22,21
2026-06-16 08:29:44,Port Scan,10.10.4.29,3389
2026-06-16 08:30:22,Brute Force,10.10.2.17,22
2026-06-16 08:30:31,SQL Injection,10.10.5.33,21
2026-06-16 08:31:23,DDoS,10.10.7.12,80
2026-06-16 08:31:37,DDoS,203.0.113.10,25
2026-06-16 08:31:55,Port Scan,10.10.7.23,80
2026-06-16 08:32:30,Credential Stuffing,192.0.2.44,80
2026-06-16 08:32:47,Brute Force,192.0.2.44,22
2026-06-16 08:34:10,Brute Force,10.10.7.31,80
2026-06-16 08:34:22,DDoS,203.0.113.10,443
2026-06-16 08:35:12,Port Scan,10.10.3.23,443
2026-06-16 08:35:57,DDoS,203.0.113.10,443
2026-06-16 08:37:21,Brute Force,10.10.6.18,8080
2026-06-16 08:39:57,Port Scan,203.0.113.77,22
2026-06-16 08:40:34,Port Scan,203.0.113.77,8080
2026-06-16 08:42:54,Brute Force,192.0.2.44,443
2026-06-16 08:43:39,Credential Stuffing,10.10.1.33,8080
2026-06-16 08:43:45,Port Scan,10.10.5.20,443
2026-06-16 08:45:23,Credential Stuffing,10.10.6.18,21
2026-06-16 08:47:22,SQL Injection,198.51.100.23,443
2026-06-16 08:47:56,SQL Injection,10.10.3.16,80
2026-06-16 08:48:25,DDoS,10.10.2.32,25
2026-06-16 08:49:11,XSS,10.10.2.26,22
2026-06-16 08:51:38,Brute Force,192.0.2.44,443
2026-06-16 08:52:39,Brute Force,10.10.3.13,443
2026-06-16 08:53:01,DDoS,10.10.6.12,25
2026-06-16 08:55:35,XSS,10.10.5.21,443
2026-06-16 08:55:49,Brute Force,192.0.2.44,80
2026-06-16 08:56:23,Port Scan,203.0.113.77,3389
2026-06-16 08:57:13,SQL Injection,10.10.1.28,22
2026-06-16 08:59:13,SQL Injection,198.51.100.23,443
2026-06-16 09:01:17,Brute Force,192.0.2.44,25
2026-06-16 09:01:24,Brute Force,10.10.6.33,3389
2026-06-16 09:03:08,Brute Force,10.10.3.11,3389
2026-06-16 09:03:35,Credential Stuffing,10.10.1.32,22
2026-06-16 09:03:43,DDoS,10.10.1.12,5432
2026-06-16 09:04:30,Brute Force,10.10.3.16,22
2026-06-16 09:05:23,XSS,10.10.1.10,22
2026-06-16 09:05:25,Brute Force,10.10.6.30,21
2026-06-16 09:06:02,SQL Injection,10.10.6.21,80
2026-06-16 09:06:49,DDoS,203.0.113.10,443
2026-06-16 09:07:40,XSS,10.10.3.34,3306
2026-06-16 09:07:41,Port Scan,10.10.6.10,21
2026-06-16 09:09:19,SQL Injection,10.10.1.15,443
2026-06-16 09:09:57,SQL Injection,10.10.5.33,21
2026-06-16 09:10:26,LDAP Injection,10.10.5.14,25
2026-06-16 09:10:29,Brute Force,10.10.1.34,80
2026-06-16 09:10:52,SQL Injection,10.10.3.18,443
2026-06-16 09:13:31,DDoS,10.10.5.30,22
2026-06-16 09:14:52,Port Scan,203.0.113.77,22
2026-06-16 09:16:14,DDoS,203.0.113.10,80
2026-06-16 09:17:36,Port Scan,203.0.113.77,443
2026-06-16 09:17:48,Port Scan,203.0.113.77,21
2026-06-16 09:18:16,Port Scan,203.0.113.77,80
2026-06-16 09:18:35,Brute Force,10.10.3.11,3306
2026-06-16 09:19:27,Port Scan,10.10.6.25,22
2026-06-16 09:19:32,DDoS,203.0.113.10,443
2026-06-16 09:21:20,Port Scan,10.10.6.18,443
2026-06-16 09:22:39,Brute Force,10.10.1.12,80
2026-06-16 09:24:28,SQL Injection,198.51.100.23,22
2026-06-16 09:26:01,Brute Force,10.10.6.15,80
2026-06-16 09:26:06,SQL Injection,198.51.100.23,443
2026-06-16 09:26:08,Brute Force,10.10.5.18,22
2026-06-16 09:26:30,Port Scan,203.0.113.77,25
2026-06-16 09:27:16,SQL Injection,10.10.7.33,443
2026-06-16 09:27:23,Port Scan,203.0.113.77,8080
2026-06-16 09:28:31,SQL Injection,198.51.100.23,80
2026-06-16 09:28:48,SQL Injection,198.51.100.23,443
2026-06-16 09:30:23,Brute Force,192.0.2.44,21
2026-06-16 09:30:51,SQL Injection,198.51.100.23,22
2026-06-16 09:32:26,DDoS,10.10.4.26,3389
2026-06-16 09:32:39,Port Scan,203.0.113.77,22
2026-06-16 09:32:48,SQL Injection,198.51.100.23,5432
2026-06-16 09:33:08,Brute Force,10.10.5.21,443
2026-06-16 09:34:00,Port Scan,10.10.3.24,443
2026-06-16 09:34:07,Malware Upload,10.10.2.16,80
2026-06-16 09:34:11,SQL Injection,10.10.2.13,21
2026-06-16 09:35:26,DDoS,10.10.5.19,80
2026-06-16 09:36:24,SQL Injection,198.51.100.23,3389
2026-06-16 09:37:34,SQL Injection,10.10.3.15,8080
2026-06-16 09:37:38,Port Scan,203.0.113.77,22
2026-06-16 09:37:39,SQL Injection,10.10.2.31,443
2026-06-16 09:38:37,DDoS,10.10.6.19,443
2026-06-16 09:38:49,SQL Injection,198.51.100.23,443
2026-06-16 09:38:56,XSS,10.10.7.32,443
2026-06-16 09:39:28,Malware Upload,10.10.6.13,443
2026-06-16 09:40:44,Port Scan,203.0.113.77,3306
2026-06-16 09:41:04,DDoS,203.0.113.10,22
2026-06-16 09:41:15,DDoS,10.10.1.22,22
2026-06-16 09:41:23,DDoS,203.0.113.10,8080
2026-06-16 09:41:33,SQL Injection,198.51.100.23,443
2026-06-16 09:42:07,SQL Injection,198.51.100.23,3306
2026-06-16 09:42:08,DDoS,203.0.113.10,80
2026-06-16 09:42:14,XSS,10.10.7.14,443
2026-06-16 09:43:25,Brute Force,10.10.3.24,443
2026-06-16 09:43:51,SQL Injection,10.10.7.11,8080
2026-06-16 09:44:17,Brute Force,192.0.2.44,8080
2026-06-16 09:44:33,Port Scan,203.0.113.77,3389
2026-06-16 09:44:53,Port Scan,203.0.113.77,22
2026-06-16 09:45:31,Brute Force,10.10.5.26,8080
2026-06-16 09:45:42,SQL Injection,10.10.6.29,22
2026-06-16 09:47:08,XSS,10.10.4.22,80
2026-06-16 09:47:19,Port Scan,10.10.5.33,443
2026-06-16 09:47:58,Port Scan,203.0.113.77,443
2026-06-16 09:48:30,Brute Force,10.10.6.20,22
2026-06-16 09:48:51,XSS,10.10.6.29,80
2026-06-16 09:49:06,SQL Injection,10.10.1.17,443
2026-06-16 09:49:14,SQL Injection,10.10.4.31,443
2026-06-16 09:51:47,Malware Upload,10.10.2.11,5432
2026-06-16 09:52:05,Malware Upload,10.10.5.17,443
2026-06-16 09:52:06,SQL Injection,198.51.100.23,3389
2026-06-16 09:52:51,DDoS,10.10.7.13,8080
2026-06-16 09:52:57,Port Scan,10.10.3.17,22
2026-06-16 09:52:57,DDoS,203.0.113.10,443
2026-06-16 09:53:47,Brute Force,192.0.2.44,5432
2026-06-16 09:53:57,Port Scan,10.10.3.28,3306
2026-06-16 09:54:15,Directory Traversal,10.10.1.20,443
2026-06-16 09:55:33,Port Scan,203.0.113.77,443
2026-06-16 09:56:29,DDoS,10.10.2.13,22
2026-06-16 09:56:43,Brute Force,192.0.2.44,22
2026-06-16 09:57:11,Brute Force,192.0.2.44,443
2026-06-16 09:57:45,Brute Force,192.0.2.44,3306
2026-06-16 09:58:23,DDoS,10.10.1.25,25
2026-06-16 09:59:33,Credential Stuffing,10.10.5.24,443
2026-06-16 10:00:23,Malware Upload,10.10.6.30,443
2026-06-16 10:00:29,SQL Injection,10.10.4.19,25
2026-06-16 10:00:43,Port Scan,10.10.7.12,443
2026-06-16 10:02:27,XSS,10.10.5.25,3306
2026-06-16 10:02:35,XSS,10.10.2.20,3306
2026-06-16 10:03:54,Brute Force,10.10.2.14,443
2026-06-16 10:05:00,Brute Force,10.10.5.24,443
2026-06-16 10:05:27,XSS,10.10.7.29,80
2026-06-16 10:06:04,SQL Injection,198.51.100.23,443
2026-06-16 10:06:33,SQL Injection,198.51.100.23,3306
2026-06-16 10:07:54,Brute Force,192.0.2.44,8080
2026-06-16 10:07:58,DDoS,10.10.6.14,443
2026-06-16 10:08:01,Brute Force,10.10.6.16,443
2026-06-16 10:11:40,Port Scan,203.0.113.77,3389
2026-06-16 10:13:10,DDoS,203.0.113.10,80
2026-06-16 10:13:18,Brute Force,10.10.4.33,8080
2026-06-16 10:15:23,DDoS,203.0.113.10,80
2026-06-16 10:15:25,Brute Force,192.0.2.44,443
2026-06-16 10:17:44,Port Scan,203.0.113.77,22
2026-06-16 10:19:23,Port Scan,203.0.113.77,21
2026-06-16 10:19:47,SQL Injection,10.10.4.13,3306
2026-06-16 10:19:48,Brute Force,10.10.1.12,80
2026-06-16 10:20:02,XSS,10.10.3.32,443
2026-06-16 10:20:25,Brute Force,10.10.7.18,443
2026-06-16 10:21:31,Port Scan,203.0.113.77,22
2026-06-16 10:22:21,Port Scan,10.10.4.12,443
2026-06-16 10:24:37,Credential Stuffing,10.10.5.18,443
2026-06-16 10:24:42,Port Scan,10.10.1.18,80
2026-06-16 10:25:06,Brute Force,192.0.2.44,80
2026-06-16 10:26:54,SQL Injection,10.10.3.19,5432
2026-06-16 10:27:48,SQL Injection,10.10.7.34,443
2026-06-16 10:28:06,DDoS,10.10.2.12,443
2026-06-16 10:28:14,SQL Injection,10.10.4.15,443
2026-06-16 10:28:39,Brute Force,10.10.2.13,443
2026-06-16 10:28:42,Brute Force,192.0.2.44,443
2026-06-16 10:29:05,DDoS,10.10.7.12,443
